206.6	1.353	2.44
210.1	1.35	2.507
213.8	1.357	2.574
217.5	1.377	2.675
221.4	1.406	2.783
225.4	1.456	2.908
229.6	1.523	3.047
233.9	1.613	3.201
238.4	1.74	3.384
243.1	1.926	3.598
248	2.234	3.822
253	2.695	3.937
258.3	3.2	3.909
263.8	3.733	3.646
269.5	4.054	3.157
275.5	4.103	2.691
281.8	4.014	2.363
288.3	3.897	2.161
295.2	3.794	2.04
302.4	3.719	1.971
310	3.667	1.936
317.9	3.64	1.924
326.3	3.64	1.931
335.1	3.668	1.958
344.4	3.736	2.005
354.2	3.887	2.071
364.7	4.172	2.042
375.7	4.401	1.87
387.5	4.706	1.64
399.9	4.778	1.119
413.3	4.605	0.786
427.5	4.43	0.596
442.8	4.28	0.472
459.2	4.154	0.385
476.9	4.047	0.319
495.9	3.957	0.268
516.6	3.881	0.219
539.1	3.82	0.178
563.6	3.747	0.134
590.4	3.686	0.1
619.9	3.664	0.059
652.5	3.559	0.003
688.8	3.479	0
729.3	3.422	0
774.9	3.378	0
826.6	3.341	0
